Codigo,Descrição,Data,Quantidade,Valor,Setor
31_000018206,LOGOTIPO MARC. MÊS E ANO 2025 FI-251-CT,2025-01-03 10:54:15,1.0,50.62,174
31_000005475,BRUNIDOR SINT. BORAZON MSØ1Ø,2025-01-03 10:55:29,8.0,280.88,132
31_000006112,INSERTO PENTA 24N247 JO20 IC908,2025-01-03 11:26:52,1.0,134.94,157
31_000020767,INSERTO TGMF 304 IC808 - ISCAR,2025-01-03 11:26:52,2.0,88.42,157
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-03 11:26:52,1.0,20.4,157
31_000018867,INSERTO SOMX 070305-DT IC808,2025-01-03 11:26:52,2.0,93.26,157
31_000028688,INSERTO WDXT094008-G ACK300　,2025-01-03 12:07:03,6.0,147.36,147
31_000028728,INSERTO WNMA 080412 AC4015K SUMITOMO,2025-01-03 12:07:03,3.0,62.97,147
31_000021009,PARAFUSO CS350860T / 5513.020.09,2025-01-03 12:07:03,3.0,58.71,147
31_000015192,PARAFUSO TS25   ( MITSUBISHI ),2025-01-03 12:07:03,3.0,45.6,147
31_000028680,INSERTO DCMT11T308-CM T5115,2025-01-03 12:07:03,1.0,24.46,147
31_000006116,"PARAFUSO TPS43 M4x0,7xD5,4x10 60°",2025-01-03 12:07:03,1.0,18.25,147
31_000028678,INSERTO CNMG120412GZ AC420K,2025-01-03 12:07:03,4.0,78.24,147
31_000028741,INSERTO CCMT 060208-PSS AH725,2025-01-03 12:07:03,6.0,116.28,147
31_000024800,INSERTO CCMT 09T308-CM T515,2025-01-03 12:07:03,4.0,94.04,147
31_000021024,INSERTO TNGX 110308S-01020-WZ CBN010,2025-01-03 12:14:06,1.0,567.02,161
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-03 12:29:59,2.0,30.96,131
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-03 12:29:59,2.0,32.58,131
31_000013248,INSERTO TPMH 080204 MV UE6020,2025-01-03 12:32:00,6.0,63.54,131
31_000028142,INSERTO CCMT 09T304-LS MP 9015,2025-01-03 12:32:00,5.0,60.45,131
31_000026787,"PARAFUSO TS2D M2x4xD3,8x5,3 82°",2025-01-03 12:32:00,3.0,40.2,131
31_000027604,"INSERTO TCD 114 P TT 9080 Ø 11,4",2025-01-03 12:32:00,1.0,215.81,131
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-03 12:32:00,1.0,15.48,131
31_000027455,INSERTO DGN 3102C IC 354,2025-01-03 12:35:00,1.0,46.16,128
31_000027456,INSERTO DGN 2202C IC 354,2025-01-03 12:35:00,2.0,91.8,128
31_000000312,"SERRA FITA 1""x4-6x3,50M M-42",2025-01-03 12:54:13,1.0,206.84,111
31_000028812,"SERRA CIRCULAR.285 x 2,0 x 1,7 x 32 x 60",2025-01-03 13:02:53,1.0,804.52,111
31_000022906,INSERTO ROSCA EXT. WT16 ER G60 WN2020,2025-01-03 13:09:33,1.0,82.47,471
31_000001959,INSERTO TNGA 160408-HTI 05T,2025-01-03 13:19:37,2.0,37.0,474
31_000003140,GRINDING WEEL MW001 3x10x3x30,2025-01-03 13:19:37,50.0,499.0,474
31_000003138,GRIND STONE CA3273,2025-01-03 13:19:37,50.0,1070.5,474
31_000001959,INSERTO TNGA 160408-HTI 05T,2025-01-03 13:20:00,5.0,92.5,476
31_000028234,INSERTO SNMG 120408-SA UE6105,2025-01-03 13:43:38,3.0,52.29,126
31_000024231,INSERTO TCMT 110204-FV AP25N,2025-01-03 13:43:38,4.0,47.96,126
31_000013246,INSERTO TNMG 160408 MA UE6020,2025-01-03 13:43:38,3.0,46.44,126
31_000008769,INSERTO VNMG 12T304-NF IC907,2025-01-03 13:43:38,1.0,37.14,126
31_000025924,INSERTO DNMG 130504 MT TT8125B,2025-01-03 14:20:44,5.0,174.4,121
31_000016864,INSERTO SCMT 09T312- MS PM 9015,2025-01-03 14:20:44,5.0,82.85,121
31_000028555,INSERTO TNMG 160412 UR YG3020 (YG1),2025-01-03 14:20:44,9.0,252.72,121
31_000028856,INSERTO CCMT 060204 LS MP9005,2025-01-03 15:11:50,3.0,39.57,124
31_000012811,INSERTO TNMG 160408- TF IC908,2025-01-03 15:30:20,4.0,93.04,149
31_000028713,INSERTO CCMT 060204E-FF2 TT010,2025-01-03 15:30:20,6.0,131.4,149
